Country,Year,Temperature,Rainfall,HDD,CDD,HDD_pw,CDD_pw,Inflation,GDP_growth,Broad_money_GDP,Exchange_rate,Population
AUS,1990,22.3953846153846,6.14,14.73,71.87,251369335.44,1226470749.36,7.33302195235871,3.57741096455418,54.063103065705,1.28105666666667,17065128
AUS,1991,23.0107692307692,3.67,11.13,76.27,192371320.68,1318253425.72,3.17667536988686,-0.382260201054848,53.3023061069217,1.28375583333333,17284036
AUS,1992,21.53,6.64,15.69,61.58,274239783.15,1076334343.3,1.01223112610713,0.428289544126571,56.1607817520318,1.36164833333333,17478635
AUS,1993,21.9669230769231,8.04,16.68,68.25,294148597.44,1203575646,1.75365344467641,4.04672816534581,56.5767739161559,1.47056,17634808
AUS,1994,21.5169230769231,3.11,19.31,65.03,343823587.08,1157889584.04,1.96963479688141,3.98038838722397,59.2265343954464,1.36775083333333,17805468
AUS,1995,21.76,7.26,15.18,64.06,273314108.76,1153392740.92,4.62776659959759,3.88592623460093,60.483001153584,1.3490325,18004882
AUS,1996,22.5446153846154,3.06,10.96,70.04,199743446.32,1276462680.68,2.61538461538461,3.86388891398424,62.7331696753496,1.27786333333333,18224767
AUS,1997,21.8861538461539,10.8,19.24,69.76,354459231.88,1285191061.12,0.224887556221889,3.91324731942255,63.9699601376052,1.34738,18423037
AUS,1998,22.2307692307692,10.13,16.26,71.26,302559315.84,1325976435.84,0.860134629768138,4.66321460379962,65.5282645441586,1.59182833333333,18607584
AUS,1999,22.3184615384615,6.37,13.6,69.74,255846790.4,1311967291.36,1.48312940304041,5.02768409342292,69.3641404165601,1.54995,18812264
AUS,2000,21.4661538461539,17.26,19.45,64.51,370110198.9,1227548017.02,4.45743514797223,3.9215029305806,67.5206398621343,1.72482666666667,19028802
AUS,2001,21.0176923076923,18.89,19.74,58.97,380482597.74,1136629117.97,4.40713536201469,2.02510553454593,70.1651514131993,1.9334425,19274701
AUS,2002,22.4507692307692,4.79,14.35,72.21,279756263.5,1407749114.1,2.98157453936348,3.97958568067362,70.2326982768036,1.8405625,19495210
AUS,2003,22.1784615384615,8.92,15.13,69.45,298374750.81,1369605184.65,2.73259596616786,3.09076190489348,74.5953282347256,1.54191416666667,19720737
AUS,2004,22.4192307692308,7.83,16.19,73.64,322710769.18,1467845648.08,2.34325522482584,4.22428481359962,77.2473544374943,1.3597525,19932722
AUS,2005,22.7692307692308,6.14,14.31,76.31,288730637.64,1539694965.64,2.69183168316832,3.15416753184221,78.2575131748516,1.30947333333333,20176844
AUS,2006,22.7707692307692,3.9,19.94,81.96,407792262.04,1676161173.36,3.55528773727026,2.75534610557227,83.3665724272263,1.3279734405,20450966
AUS,2007,22.4292307692308,6.57,16.18,73.76,336990923.96,1536245398.72,2.32761128891475,3.77332171303566,90.4718105339808,1.1950725,20827622
AUS,2008,22.0369230769231,6.54,17.19,69.67,365273730.81,1480431694.33,4.35029854990048,3.58626695226046,97.7256039423242,1.19217833333333,21249199
